Source,Target,Weight
394892872,997951518,1
516464106,398529037,1
353786894,157932865,1
213969309,1000609382,1
516464106,102076372,1
516464106,48391223,1
507672047,1098828360,1
394892872,239172505,1
516464106,115038550,1
262230432,4852859639,1
507672047,1121441719,1
394892872,246735213,1
213969309,23083404,1
394892872,386420143,1
214413743,49153854,1
537951506,119073171,1
516464106,2830604556,1
537951506,22949587,1
262230432,267220090,1
213969309,295369312,1
213969309,1330457336,1
213969309,42640655,1
516464106,1011994861803843584,1
213969309,26565946,1
516464106,392886372,1
516464106,1231506325,1
537951506,120088875,1
353786894,368276033,1
213969309,79293791,1
353786894,1265898686942457857,1
516464106,2409889953,1
213969309,158668986,1
213969309,116757352,1
213969309,326040222,1
516464106,23575595,1
537951506,629580492,1
507672047,102646663,1
537951506,1229481818,1
213969309,118527732,1
537951506,102620524,1
213969309,57594845,1
214413743,35324363,1
213969309,71107168,1
214413743,17071337,1
394892872,78014414,1
214413743,278392569,1
516464106,133457988,1
213969309,13298072,1
213969309,108568373,1
394892872,2827589488,1
353786894,138041655,1
394892872,389415827,1
353786894,2980476791,1
394892872,441248065,1
213969309,146509611,1
353786894,3357107590,1
394892872,2900651432,1
213969309,33995409,1
213969309,85603854,1
353786894,138456571,1
213969309,457509378,1
902951244549038081,87698914,1
516464106,162840111,1
353786894,262230432,1
213969309,410811457,1
353786894,260305007,1
537951506,159392055,1
262230432,316989623,1
537951506,22464991,1
213969309,964344902,1
213969309,20464600,1
902951244549038081,382560919,1
537951506,83784709,1
353786894,3359284941,1
213969309,894229525,1
537951506,1098076669,1
394892872,2308208284,1
394892872,23440052,1
394892872,2277511217,1
213969309,47919645,1
537951506,497723386,1
213969309,574857684,1
516464106,224002832,1
537951506,220692710,1
353786894,2375037612,1
394892872,1241015653,1
213969309,44196397,1
213969309,1901544158,1
353786894,434425360,1
353786894,332320612,1
213969309,2490105636,1
353786894,23746926,1
394892872,286196788,1
537951506,195199790,1
394892872,2298877521,1
394892872,382560919,1
537951506,1252491787,1
537951506,1003827116,1
537951506,53047484,1
537951506,31209800,1
214413743,183066104,1
262230432,634776678,1
394892872,392769214,1
516464106,272570677,1
516464106,248200951,1
516464106,4213926433,1
516464106,861677222125613056,1
214413743,66010028,1
537951506,86740435,1
213969309,441988221,1
353786894,2905232597,1
516464106,537593403,1
353786894,437610627,1
507672047,246772342,1
353786894,615303059,1
394892872,610878126,1
353786894,78030647,1
516464106,2333905358,1
537951506,2253219642,1
537951506,116757352,1
394892872,44340677,1
213969309,49745621,1
353786894,740336334,1
262230432,181698945,1
353786894,226087776,1
353786894,515788201,1
537951506,15603629,1
516464106,3577555516,1
537951506,281020991,1
353786894,277984168,1
537951506,599325500,1
214413743,21200516,1
516464106,151825149,1
537951506,2832522954,1
516464106,3569082262,1
394892872,21046818,1
353786894,125832497,1
353786894,3143321146,1
213969309,27660239,1
214413743,376035528,1
213969309,86988101,1
262230432,20517081,1
516464106,836842023839739905,1
353786894,379044969,1
394892872,2785695659,1
353786894,1214181376536141830,1
516464106,2788626986,1
214413743,568054769,1
213969309,34036028,1
213969309,17019152,1
516464106,395382012,1
394892872,843482970,1
213969309,24278900,1
214413743,267220090,1
353786894,393515272,1
516464106,217608336,1
902951244549038081,19596687,1
507672047,55353207,1
214413743,137419464,1
214413743,180936890,1
537951506,29774933,1
507672047,1229534000,1
262230432,449161756,1
537951506,69009066,1
537951506,964344902,1
537951506,20464600,1
394892872,525132711,1
213969309,17020962,1
516464106,4636048381,1
516464106,810047690079928320,1
213969309,68674747,1
213969309,212428690,1
516464106,2893511188,1
213969309,29268463,1
213969309,579022748,1
516464106,134517120,1
516464106,455253742,1
902951244549038081,2303406624,1
394892872,443896468,1
516464106,507672047,1
213969309,19528406,1
213969309,280563807,1
353786894,273181052,1
213969309,2367911,1
213969309,193768385,1
213969309,527526077,1
537951506,91083585,1
537951506,418565885,1
902951244549038081,490756890,1
507672047,501836993,1
394892872,2882426554,1
516464106,3314736112,1
537951506,1141137795639074817,1
353786894,53053378,1
213969309,21044208,1
213969309,202116088,1
507672047,494224617,1
213969309,514592974,1
394892872,94058128,1
213969309,275710913,1
516464106,571206183,1
213969309,20192529,1
394892872,37921477,1
353786894,65348998,1
213969309,388421804,1
394892872,490756890,1
394892872,504143250,1
213969309,57078391,1
516464106,3394094229,1
213969309,815171173,1
353786894,440192971,1
